CustomerState;CustomerSurname;CustomerFirstname;NumberOfTransactions;MinAmount;MaxAmount;AverageAmount;SumOfAmounts
Alabama;Esquibel;Kasandra;6;113.83;921.35;417.90;2507.41
Alabama;Estepp;Ginger;2;483.68;934.76;709.22;1418.44
Alabama;Evola;Chuakay;7;65.58;584.46;308.23;2157.60
Alabama;Ewy;Barry;7;54.68;938.12;609.93;4269.53
Alabama;Faubert;Reade;2;223.62;818.08;520.85;1041.70
Alabama;Ferris;Rosario;1;148.44;148.44;148.44;148.44
Alabama;Fink;Marshall;7;97.90;935.60;532.03;3724.21
Alabama;Florczak;Zina;4;29.04;700.76;316.50;1266.02
Alabama;Fournier;Honey;5;114.58;995.76;628.14;3140.70
Alabama;Fray;J. Michael;9;67.51;682.84;343.11;3087.95
Alabama;Fuchs;Brooke;6;101.30;906.85;572.51;3435.06
Alabama;Fulcher;Jeannette;3;155.41;693.83;494.58;1483.75
Alabama;Garft;Clint;3;590.48;738.34;668.14;2004.42
Alabama;Gilson;Julius;6;40.23;839.24;498.64;2991.82
Alabama;Gladhdish;Geoff;5;252.48;978.94;650.07;3250.33
Alabama;Godinez;Monk;6;89.38;999.00;646.72;3880.30
Alabama;Golden;Kolleen;2;180.67;591.77;386.22;772.44
Alabama;Goldey;Nicki;2;357.13;564.62;460.88;921.75
Alabama;Gomez;Danny;3;166.48;785.91;492.75;1478.24
Alabama;Good;Amelia;8;68.97;870.23;378.29;3026.33
Alabama;Gordon;Patta;2;23.88;379.34;201.61;403.22
Alabama;Gramstoff;Vannessa;1;531.54;531.54;531.54;531.54
Alabama;Gray;Roger;8;39.79;876.50;536.33;4290.68
Alabama;Grayson;Orville;3;38.50;861.50;496.09;1488.28
Alabama;Greves;Clinton;4;159.99;747.16;499.92;1999.70
Alabama;Grey;Ron;6;148.21;704.69;437.16;2622.94
Alabama;Gurule;Marianne;4;471.03;741.38;636.57;2546.27
Alabama;Gutierrez;Virgie;4;114.18;636.80;358.78;1435.14
Alabama;Gutirerrez;Candice;5;51.35;472.24;263.03;1315.15
Alabama;Gwartney;Muffy;4;119.10;858.19;437.82;1751.27
Alabama;Hammerland;Anamaria;8;48.40;949.21;440.36;3522.87
Alabama;Hammersmith;Chaillot;5;174.57;834.91;486.35;2431.76
Alabama;Hand;Ruben;6;33.17;780.66;327.22;1963.31
Alabama;Hardrick;Dea;6;28.46;950.27;625.20;3751.22
Alabama;Hassard;Marliss;7;469.62;900.18;639.89;4479.21
Alabama;Hasslen;Dyanna;5;66.88;736.29;360.39;1801.93
Alabama;Hathcock;Roland;10;151.62;825.34;487.74;4877.40
Alabama;Hayden;Corey;3;562.52;938.55;728.48;2185.44
Alabama;Hedrick;Clara;2;739.57;828.22;783.89;1567.79
Alabama;Henson;Chellie;3;89.90;893.86;566.00;1698.01
Alabama;Heyer;Quintin;4;269.64;888.20;504.82;2019.28
Alabama;Hogg;Paulette;5;117.34;878.53;451.66;2258.28
Alabama;Hollinshed;Gregory;4;220.14;909.70;626.26;2505.05
Alabama;Holm;Masaharu;3;323.63;584.41;419.15;1257.46
Alabama;Hopkins;Phyllis;3;391.61;730.15;605.48;1816.45
Alabama;Huebner, Jr.;Nanette;5;80.41;930.45;396.00;1980.01
Alabama;Huff;Shauna;5;119.24;771.09;503.54;2517.72
Alabama;Huffman;Dick;3;162.65;986.86;666.99;2000.97
Alabama;Hurkett;Marialice;3;558.35;731.71;664.59;1993.76
Alabama;Huserik;Pat;1;608.72;608.72;608.72;608.72
Alabama;Iano;Zachariah;4;119.50;773.02;543.59;2174.37
Alabama;Irwin;Coleman;4;52.50;347.03;206.34;825.38
Alabama;Ishizu;Marleen;5;27.96;766.70;440.36;2201.79
Alabama;Isom;Ricardo;9;139.61;948.41;608.90;5480.11
Alabama;Ison;Cyndee;4;82.40;732.90;397.49;1589.95
Alabama;Iudice;Opal;4;174.07;651.37;382.85;1531.38
Alabama;Ivner;Daryce;4;252.26;855.82;651.53;2606.13
Alabama;Ivner;Kurt;4;199.26;761.15;487.79;1951.18
Alabama;Janda;Bobbie;4;65.42;503.61;227.48;909.92
Alabama;Jorgensen;Andrew;8;90.45;894.83;395.70;3165.61
Alabama;Joyce;Marvin;3;425.03;730.69;608.63;1825.89
Alabama;Kactus;Salvator;6;150.33;617.92;379.93;2279.58
Alabama;Kelham;Maureen;7;20.76;955.41;307.86;2155.00
Alabama;Kellen;Walter;6;67.23;993.68;461.85;2771.09
Alabama;Keller;Casey;3;477.48;820.83;600.36;1801.09
Alabama;Kesslep;Marjory;7;33.33;932.45;541.03;3787.23
Alabama;Kirkpatrick;Christie;7;36.62;642.83;401.48;2810.34
Alabama;Kirkpatrick;Darren;7;174.80;940.77;624.08;4368.59
Alabama;Klunder;Alicia;6;84.62;820.52;433.29;2599.75
Alabama;Kneipple;Joey;4;445.53;662.44;530.26;2121.06
Alabama;Kochle;Aranda;6;61.90;732.01;448.18;2689.11
Alabama;Komma;Cena;7;37.95;851.35;498.34;3488.35
Alabama;Konig;Katharine;5;45.31;872.43;417.50;2087.51
Alabama;Koski;Gail;3;136.51;585.65;355.88;1067.65
Alabama;Kreuzer;Starla;4;124.99;805.38;515.12;2060.47
Alabama;Lair;Alexandra;6;329.21;693.37;521.22;3127.33
Alabama;Land;Patricia;4;90.57;524.20;312.87;1251.49
Alabama;Lange;Leonora;5;140.08;935.29;600.21;3001.05
Alabama;Lansing;Sandra;5;449.32;958.90;769.40;3847.02
Alabama;Lenorovitz;Suet-fun;2;226.28;924.38;575.33;1150.66
Alabama;Leske;Zoey;5;423.49;989.55;636.16;3180.82
Alabama;Levinson;Herve;6;209.28;853.73;552.98;3317.89
Alabama;Lindahl;Merced;2;302.25;414.89;358.57;717.14
Alabama;Lindsay;Faisad;5;155.43;263.18;200.47;1002.36
Alabama;Lipes;Esther;2;429.63;917.02;673.33;1346.65
Alabama;Longo;Jeanine;8;103.19;968.81;574.41;4595.26
Alabama;Lucas;Dorine;6;28.14;931.04;568.30;3409.82
Alabama;Lunden;Bitty;5;252.93;718.52;417.48;2087.42
Alabama;Lyeba;Sharilynn;4;104.69;820.58;480.67;1922.66
Alabama;Magenheimer;Edmund;7;101.02;960.53;595.30;4167.11
Alabama;Mann;Kelvin;3;334.24;552.61;407.97;1223.90
Alabama;Marcotte;Nasrin;6;107.03;864.48;554.55;3327.31
Alabama;Marmaro;Rupert;1;425.96;425.96;425.96;425.96
Alabama;Mathias;Arjeet;3;243.57;322.68;280.75;842.25
Alabama;Mattocks;Hyman;7;79.82;812.72;457.70;3203.92
Alabama;Mays;Sheree;2;907.83;938.24;923.04;1846.07
Alabama;Mc Gary;Margorie;4;204.01;908.39;526.40;2105.62
Alabama;McAnarney;Pamela;5;24.71;781.73;320.18;1600.88
Alabama;McBride;Wei;3;270.48;986.75;612.51;1837.53
Alabama;McCabe;Christine;3;282.30;849.96;574.18;1722.55
Alabama;McCain;Erre;1;461.71;461.71;461.71;461.71
Alabama;McDermitt;Salome;7;111.79;967.13;427.74;2994.15
Alabama;McNamee;Yahia;6;93.40;953.76;515.45;3092.69
Alabama;Mcanich;Flossie;8;330.22;965.26;635.82;5086.56
Alabama;Meek;Bessie;5;244.30;888.32;551.73;2758.66
Alabama;Mehaffy;Elaine;6;85.87;964.45;549.20;3295.19
Alabama;Menaseo;Lili;5;158.35;904.44;660.67;3303.35
Alabama;Mendelson;Chellie;4;632.41;861.46;750.46;3001.82
Alabama;Mercer;Kevin;11;226.80;998.55;614.29;6757.14
Alabama;Merritt;Hermon;5;327.78;974.54;672.24;3361.21
Alabama;Milenic;Lino;6;41.83;835.99;448.39;2690.33
Alabama;Minsky;Olga;5;484.75;752.46;631.56;3157.82
Alabama;Misiaszek;Mario;5;257.38;959.17;708.45;3542.26
Alabama;Montano;Selma;6;116.88;939.66;539.03;3234.21
Alabama;Moreland;Willodene;5;329.28;784.00;617.90;3089.48
Alabama;Moreno;Meris;7;115.49;771.97;458.81;3211.67
Alabama;Morgan;Cyril;1;36.93;36.93;36.93;36.93
Alabama;Morlan;Trudy;6;58.97;961.27;436.94;2621.62
Alabama;Moyer;Fae;7;45.38;758.85;256.88;1798.16
Alabama;Mramor;Glenn;2;31.52;172.68;102.10;204.20
Alabama;Musso;Elza;4;85.02;983.36;496.22;1984.88
Alabama;Myles;Lorraine;3;41.11;604.19;404.71;1214.12
Alabama;Northcutt;Kara;10;47.26;989.18;518.83;5188.34
Alabama;Novreske;Kindra;7;20.59;915.99;393.48;2754.38
Alabama;Olivera;Rubi;4;437.25;969.55;755.18;3020.72
Alabama;Orando;Theodore;7;96.77;975.79;718.03;5026.22
Alabama;Orner;Perfecto;2;87.26;108.54;97.90;195.80
Alabama;Otte;Laurence;2;351.19;627.36;489.27;978.55
Alabama;Otto;Gertrude;4;58.30;303.87;223.79;895.17
Alabama;Paine;Elsie;7;26.47;953.49;385.70;2699.92
Alabama;Partin;Brittany;2;60.04;938.28;499.16;998.32
Alabama;Paulsen;Shawn;3;654.50;920.66;817.57;2452.71
Alabama;Perera;Hillaine;3;511.57;892.22;761.28;2283.85
Alabama;Perez;Jenifer;4;49.23;561.21;317.75;1271.00
Alabama;Perkins;Peffy;6;87.23;722.33;471.70;2830.20
Alabama;Peterson;Madeline;8;345.34;981.69;696.36;5570.89
Alabama;Pica;Lyall;4;107.13;380.40;255.22;1020.89
Alabama;Pinter;Elvera;5;524.65;972.74;685.98;3429.91
Alabama;Ploeger;Billy;5;214.34;755.61;382.23;1911.13
Alabama;Poole;Jeanni;4;85.12;419.77;273.16;1092.66
Alabama;Purfield;Linton;7;436.08;829.35;604.26;4229.81
Alabama;Pusedu;Chuakay;8;164.51;895.44;514.49;4115.90
Alabama;Putinas;Robyn;7;91.26;799.01;424.76;2973.29
Alabama;Puttkammer;Mary Ann;7;281.64;883.94;552.26;3865.83
Alabama;Quick;Britton;4;195.58;982.36;613.68;2454.73
Alabama;Raberg;Chastity;2;471.50;736.54;604.02;1208.04
Alabama;Raines;Sonny;5;634.80;981.02;839.77;4198.83
Alabama;Rattan;Shauneen;6;42.89;757.55;381.33;2288.00
Alabama;Raye;Wallace;5;63.95;766.66;450.38;2251.91
Alabama;Redmer;Anatole;8;67.62;862.08;559.76;4478.10
Alabama;Reed;Manuelita;2;20.21;380.29;200.25;400.50
Alabama;Reeley;Stefanie;2;390.99;890.82;640.90;1281.81
Alabama;Rehrer;Santosh;5;162.40;933.68;514.19;2570.94
Alabama;Repicky;Huie Nook Yen;4;47.97;826.11;449.23;1796.93
Alabama;Ridgway;Pat;4;59.79;701.54;363.73;1454.93
Alabama;Rincon;Fraces;5;112.39;885.25;575.50;2877.50
Alabama;Rios;Hally;4;313.57;958.70;660.62;2642.47
Alabama;Ritter;Clarice;6;165.98;983.00;561.48;3368.85
Alabama;Ritter;Irene;3;60.63;403.09;210.25;630.74
Alabama;Rodacy;Candice;2;286.82;294.88;290.85;581.70
Alabama;Roldan;Mariano;5;31.50;882.06;369.22;1846.09
Alabama;Roman;Heather;7;129.06;935.07;453.01;3171.07
Alabama;Rosales;Latoya;5;211.60;922.86;444.50;2222.51
Alabama;Rothwell;Salvator;4;408.71;762.86;541.14;2164.57
Alabama;Rovenza;Shaharia;8;63.39;833.40;359.52;2876.13
Alabama;Rowland;Bethe;5;101.61;960.12;440.76;2203.80
Alabama;Roybal;Wynona;2;60.56;619.83;340.20;680.39
Alabama;Rusciano;Fira;5;64.45;993.72;528.84;2644.20
Alabama;Rydzewski;Kent;5;179.65;674.17;428.86;2144.31
Alabama;Saurerveirn;Neioa;4;318.05;793.21;588.32;2353.26
Alabama;Saxton;Carroll;7;112.76;933.98;639.36;4475.54
Alabama;Schaidt;Elza;1;366.45;366.45;366.45;366.45
Alabama;Schatz;Suzanne;7;160.66;676.48;332.24;2325.67
Alabama;Schilleroff;Mariano;9;31.07;781.17;497.37;4476.30
Alabama;Schranz;Reginald;6;217.36;715.83;477.83;2866.95
Alabama;Schrock;Clarence;3;216.88;713.97;485.73;1457.19
Alabama;Secora;Melody;6;328.01;858.40;526.15;3156.91
Alabama;Segura;Eyra;3;53.84;838.50;357.14;1071.41
Alabama;Shaffett;Edgar;3;377.17;937.08;729.79;2189.37
Alabama;Siemer;Mary Beth;8;54.51;841.42;498.39;3987.11
Alabama;Sincich;Jacques;4;34.84;504.98;313.45;1253.80
Alabama;Singleton;Janette;4;31.14;994.66;544.72;2178.88
Alabama;Siu;Wendi;3;26.48;805.53;390.99;1172.97
Alabama;Skeens;Betty Marilee;1;247.03;247.03;247.03;247.03
Alabama;Smrha;Chris;3;380.91;872.25;697.37;2092.11
Alabama;Smrha;Renato;8;63.94;916.40;345.37;2762.97
Alabama;Solosabal;Janeen;3;813.64;962.02;892.01;2676.02
Alabama;Sommers;Williams;4;35.47;759.78;294.05;1176.19
Alabama;Sonneborn;Robyn;3;288.77;764.17;541.16;1623.49
Alabama;Sotelo;Cornett;4;102.40;983.56;502.90;2011.58
Alabama;Souleyrette;Ragan;3;234.75;915.86;527.21;1581.63
Alabama;Spinks;Jeannine;3;261.75;793.73;505.91;1517.72
Alabama;Spirek;Caryl;3;286.57;831.61;610.71;1832.14
Alabama;Sprangs;Kittie;5;402.61;823.10;620.05;3100.25
Alabama;Spurs;Burnis;3;220.44;618.13;468.98;1406.93
Alabama;Stallings;Kent;6;518.93;889.21;729.26;4375.57
Alabama;Stam;Mickey;7;100.02;954.13;671.70;4701.87
Alabama;Stanz;Jessica;5;109.97;658.46;436.91;2184.53
Alabama;Stayton;Jeanne;9;175.87;900.25;475.76;4281.85
Alabama;Stedillie;Maryan;5;471.38;911.67;711.33;3556.65
Alabama;Stimac;Sheldon;3;360.36;691.86;501.87;1505.60
Alabama;Stockman;Daniella;6;59.46;653.28;425.24;2551.45
Alabama;Stolow;Sonny;5;432.37;849.37;611.96;3059.81
Alabama;Stonehocker;Virtudes;6;77.61;845.21;528.60;3171.62
Alabama;Stranger;Phyllis;3;62.41;807.96;343.08;1029.23
Alabama;Stubbs;Aaron;5;60.95;989.76;653.58;3267.90
Alabama;Sugiyama;Lorraine;5;23.37;861.63;365.51;1827.56
Alabama;Sussman;C.;2;527.54;786.49;657.01;1314.03
Alabama;Sutton;Erica;5;203.54;984.52;511.25;2556.24
Alabama;Swingley;Meladie;7;53.66;692.27;321.34;2249.39
Alabama;Symons;Jimmie;5;79.93;824.22;461.43;2307.16
Alabama;Tallaksen;Long;5;41.80;625.80;299.65;1498.26
Alabama;Tallman;Mary Jo;4;173.37;937.24;615.92;2463.70
Alabama;Tedford;Cherie;6;277.47;984.59;549.17;3295.04
Alabama;Temple;Dina;5;82.41;670.55;433.79;2168.96
Alabama;Terry;Kassandra;7;50.95;959.63;471.05;3297.37
Alabama;Thomason;Lainie;3;818.28;839.40;832.33;2496.98
Alabama;Tillman;Jo Ellen;3;41.62;524.05;327.46;982.37
Alabama;Tilly;Kara;8;255.87;724.39;453.08;3624.66
Alabama;Tilton;Affie;8;40.55;784.12;389.57;3116.53
Alabama;Tobin;Selene;2;467.62;653.64;560.63;1121.26
Alabama;Tominello;Mats;3;273.32;931.12;531.77;1595.31
Alabama;Towne;Dylan;6;91.02;935.05;400.66;2403.94
Alabama;Travierso;Larry;6;100.28;921.65;651.58;3909.45
Alabama;Tribble;Merritt;3;29.53;587.89;232.88;698.63
Alabama;Tubbs;Dell;9;59.53;828.49;545.19;4906.69
Alabama;Turpin;Margareta;6;574.25;823.85;696.56;4179.37
Alabama;Tysor;Ruby Kaye;2;309.48;609.06;459.27;918.54
Alabama;Urrutia;Beatrice;7;207.88;978.36;474.49;3321.43
Alabama;Uy;Gertrude;5;154.48;901.79;529.74;2648.70
Alabama;Valerio;Isabel;9;155.32;823.34;502.49;4522.45
Alabama;Van Zandt;Jay;5;576.27;809.12;708.50;3542.50
Alabama;Vasquez;Loretta;1;760.95;760.95;760.95;760.95
Alabama;Vaughn;Adoli;3;176.91;991.53;473.46;1420.37
Alabama;Velez;Rosella;5;42.70;808.72;445.83;2229.17
Alabama;Verhaeghe;Teresa;9;51.86;946.86;380.35;3423.19
Alabama;Vilgil;Carole;3;353.49;732.04;588.51;1765.53
Alabama;Villa;Katrina;5;20.00;889.99;395.64;1978.19
Alabama;Villaluz;Katerina;6;429.70;914.14;690.75;4144.49
Alabama;Vincenzi;Adrienne;1;595.05;595.05;595.05;595.05
Alabama;Vincenzi;Ronny;6;23.60;974.16;491.53;2949.20
Alabama;Voeltz;Stacey;7;216.41;799.13;514.04;3598.26
Alabama;Von Waldegg;Suzanna;2;139.76;525.22;332.49;664.98
Alabama;Wagar;Shelley;3;146.09;367.82;262.81;788.44
Alabama;Walcott;Goble;9;105.07;852.62;426.83;3841.49
Alabama;Walsh;Jacques;5;152.36;596.06;380.59;1902.96
Alabama;Washburn;Georgia;4;528.26;781.32;665.31;2661.23
Alabama;Waskey;Forrest;3;556.73;697.48;628.72;1886.15
Alabama;Watner;Rana;4;61.66;526.49;294.88;1179.54
Alabama;Weller;Francine;3;30.85;467.77;257.25;771.76
Alabama;Werts;Edith Daniel;1;334.00;334.00;334.00;334.00
Alabama;West;Saskia;2;244.81;336.14;290.48;580.95
Alabama;Whetstone;Jeannette;5;76.53;767.63;376.90;1884.51
Alabama;Wiesner;Nell;3;180.35;799.47;471.18;1413.55
Alabama;Wilcox;Sali;7;191.05;892.91;496.33;3474.33
Alabama;Wilkerson;Mickey;5;169.40;874.36;537.35;2686.73
Alabama;Willliams;Opal;3;23.45;956.75;476.57;1429.72
Alabama;Willner;Peggy;2;341.20;641.62;491.41;982.82
Alabama;Winslow;Jauire;2;316.97;324.96;320.97;641.93
Alabama;Woods;Carole;5;24.64;968.43;450.22;2251.10
Alabama;Wopperer;Francisca;6;35.84;832.80;401.09;2406.54
Alabama;Workman;Lynn;8;156.86;816.17;516.94;4135.55
Alabama;Worleg;Macario;5;413.74;794.18;648.89;3244.45
Alabama;Wuesthoff;Zach;7;150.76;836.36;496.43;3475.03
Alabama;Yalotz;Bernadette;2;185.99;367.60;276.80;553.59
Alabama;Yonce;Parker;4;232.35;505.61;403.83;1615.32
Alabama;Zablah;Wayne;5;226.62;941.45;603.66;3018.28
