EmployeeSurname;EmployeeFirstname;CustomerState;NumberOfTransactions;MinAmount;MaxAmount;AverageAmount;SumOfAmounts
Arteaga;Sarah;North Dakota;12;59.70;962.49;576.13;6913.61
Arteaga;Sarah;Ohio;7;224.72;996.61;633.23;4432.62
Arteaga;Sarah;Oklahoma;10;93.98;976.36;567.92;5679.18
Arteaga;Sarah;Oregon;14;29.90;982.39;486.27;6807.80
Arteaga;Sarah;Pennsylvania;8;31.46;715.61;496.73;3973.87
Arteaga;Sarah;Rhode Island;4;21.59;794.33;309.34;1237.37
Arteaga;Sarah;South Carolina;10;171.47;994.64;558.45;5584.51
Arteaga;Sarah;South Dakota;8;142.27;909.07;499.00;3991.97
Arteaga;Sarah;Tennessee;12;137.47;871.89;479.87;5758.41
Arteaga;Sarah;Texas;4;130.36;959.62;675.28;2701.14
Arteaga;Sarah;Utah;9;161.05;861.31;500.81;4507.29
Arteaga;Sarah;Vermont;8;21.37;942.08;454.47;3635.80
Arteaga;Sarah;Virginia;8;30.38;945.17;594.84;4758.76
Arteaga;Sarah;Washington;8;138.24;954.10;537.02;4296.19
Arteaga;Sarah;West Virginia;9;94.67;915.85;485.87;4372.79
Arteaga;Sarah;Wisconsin;8;263.16;855.99;491.08;3928.63
Arteaga;Sarah;Wyoming;13;97.00;993.47;530.96;6902.52
Ashbrook;William;Alabama;11;115.57;949.49;450.71;4957.81
Ashbrook;William;Alaska;6;32.03;992.61;528.64;3171.82
Ashbrook;William;Arizona;7;109.48;733.25;429.77;3008.42
Ashbrook;William;Arkansas;9;55.00;968.64;509.72;4587.50
Ashbrook;William;California;8;115.18;940.44;609.56;4876.49
Ashbrook;William;Colorado;11;41.24;928.10;454.22;4996.45
Ashbrook;William;Connecticut;7;43.90;678.67;304.31;2130.15
Ashbrook;William;Delaware;11;98.13;968.72;548.62;6034.83
Ashbrook;William;Florida;9;335.04;935.19;567.40;5106.58
Ashbrook;William;Georgia;14;99.86;811.36;448.00;6272.02
Ashbrook;William;Hawaii;15;128.46;995.52;613.58;9203.65
Ashbrook;William;Idaho;11;104.86;837.55;458.98;5048.76
Ashbrook;William;Illinois;6;92.20;668.55;349.91;2099.45
Ashbrook;William;Indiana;12;74.02;995.65;717.38;8608.51
Ashbrook;William;Iowa;4;221.51;699.65;442.16;1768.63
Ashbrook;William;Kansas;5;461.71;933.02;699.32;3496.62
Ashbrook;William;Kentucky;12;36.31;964.39;579.37;6952.39
Ashbrook;William;Louisiana;8;124.75;863.00;648.26;5186.11
Ashbrook;William;Maine;13;40.49;987.06;549.24;7140.12
Ashbrook;William;Maryland;6;106.91;617.60;401.50;2409.03
Ashbrook;William;Massachusetts;11;68.52;995.94;450.07;4950.72
Ashbrook;William;Michigan;18;35.68;886.86;494.82;8906.75
Ashbrook;William;Minnesota;15;20.98;959.72;639.64;9594.62
Ashbrook;William;Mississippi;15;69.24;908.99;479.55;7193.27
Ashbrook;William;Missouri;9;155.41;998.77;591.85;5326.61
Ashbrook;William;Montana;7;264.60;923.06;691.60;4841.20
Ashbrook;William;Nebraska;14;26.06;934.25;442.66;6197.20
Ashbrook;William;Nevada;10;156.13;973.51;664.59;6645.94
Ashbrook;William;New Hampshire;12;85.11;944.08;489.68;5876.18
Ashbrook;William;New Jersey;7;110.17;887.58;484.62;3392.31
Ashbrook;William;New Mexico;9;69.79;990.09;555.17;4996.51
Ashbrook;William;New York;12;253.92;918.41;652.89;7834.69
Ashbrook;William;North Carolina;10;54.06;933.14;448.03;4480.28
Ashbrook;William;North Dakota;10;65.14;990.69;594.93;5949.32
Ashbrook;William;Ohio;9;81.87;956.48;417.75;3759.73
Ashbrook;William;Oklahoma;10;91.88;932.37;474.13;4741.26
Ashbrook;William;Oregon;13;161.95;883.03;506.59;6585.64
Ashbrook;William;Pennsylvania;8;173.26;921.52;510.62;4084.94
Ashbrook;William;Rhode Island;9;243.96;969.40;570.50;5134.50
Ashbrook;William;South Carolina;10;107.16;785.99;448.24;4482.37
Ashbrook;William;South Dakota;10;208.71;889.93;598.12;5981.18
Ashbrook;William;Tennessee;13;38.78;860.49;539.95;7019.33
Ashbrook;William;Texas;15;58.32;866.33;516.53;7747.88
Ashbrook;William;Utah;16;88.73;874.68;536.42;8582.77
Ashbrook;William;Vermont;12;65.71;827.83;332.23;3986.75
Ashbrook;William;Virginia;13;110.13;950.04;564.23;7334.97
Ashbrook;William;Washington;11;111.06;951.75;396.82;4364.98
Ashbrook;William;West Virginia;8;323.42;888.47;519.06;4152.52
Ashbrook;William;Wisconsin;6;289.87;997.90;709.84;4259.02
Ashbrook;William;Wyoming;10;116.34;981.92;642.15;6421.48
Babb;Vanessa;Alabama;6;194.73;950.27;636.18;3817.05
Babb;Vanessa;Alaska;7;267.92;952.21;621.87;4353.10
Babb;Vanessa;Arizona;14;95.04;957.17;595.95;8343.27
Babb;Vanessa;Arkansas;7;101.40;940.48;463.09;3241.65
Babb;Vanessa;California;12;58.28;888.79;497.96;5975.46
Babb;Vanessa;Colorado;5;316.76;937.44;581.59;2907.94
Babb;Vanessa;Connecticut;9;89.81;959.00;657.93;5921.34
Babb;Vanessa;Delaware;7;28.43;762.66;325.27;2276.88
Babb;Vanessa;Florida;8;113.40;994.03;667.99;5343.96
Babb;Vanessa;Georgia;11;269.89;936.69;545.38;5999.23
Babb;Vanessa;Hawaii;17;54.21;993.62;507.05;8619.91
Babb;Vanessa;Idaho;9;142.68;819.29;483.48;4351.33
Babb;Vanessa;Illinois;10;70.23;764.06;398.78;3987.82
Babb;Vanessa;Indiana;14;102.26;956.08;532.42;7453.90
Babb;Vanessa;Iowa;7;90.18;629.24;332.86;2330.01
Babb;Vanessa;Kansas;6;46.47;842.76;453.27;2719.60
Babb;Vanessa;Kentucky;12;26.05;917.17;408.38;4900.54
Babb;Vanessa;Louisiana;11;44.18;789.17;379.18;4171.01
Babb;Vanessa;Maine;7;88.35;963.62;415.60;2909.18
Babb;Vanessa;Maryland;9;276.57;995.26;632.67;5694.06
Babb;Vanessa;Massachusetts;8;66.59;900.75;429.45;3435.61
Babb;Vanessa;Michigan;10;94.27;941.65;534.35;5343.47
Babb;Vanessa;Minnesota;13;52.56;872.40;401.93;5225.15
Babb;Vanessa;Mississippi;12;46.16;915.54;464.18;5570.14
Babb;Vanessa;Missouri;7;199.73;921.76;681.94;4773.57
Babb;Vanessa;Montana;10;64.87;957.66;567.11;5671.09
Babb;Vanessa;Nebraska;8;282.24;947.19;558.59;4468.74
Babb;Vanessa;Nevada;5;338.70;986.44;642.60;3213.02
Babb;Vanessa;New Hampshire;10;30.04;892.94;475.01;4750.13
Babb;Vanessa;New Jersey;7;192.91;909.05;569.10;3983.67
Babb;Vanessa;New Mexico;6;88.23;863.95;634.84;3809.05
Babb;Vanessa;New York;9;218.44;983.45;587.65;5288.83
Babb;Vanessa;North Carolina;8;59.42;969.01;514.16;4113.26
Babb;Vanessa;North Dakota;13;36.11;875.31;431.32;5607.18
Babb;Vanessa;Ohio;5;122.59;890.52;500.69;2503.43
Babb;Vanessa;Oklahoma;11;39.97;968.48;627.49;6902.44
Babb;Vanessa;Oregon;8;41.25;902.91;457.37;3658.96
Babb;Vanessa;Pennsylvania;9;143.41;981.84;677.80;6100.19
Babb;Vanessa;Rhode Island;4;161.42;751.86;592.04;2368.18
Babb;Vanessa;South Carolina;4;73.89;563.46;376.56;1506.24
Babb;Vanessa;South Dakota;10;249.85;943.02;551.75;5517.54
Babb;Vanessa;Tennessee;13;71.95;962.09;494.81;6432.47
Babb;Vanessa;Texas;12;44.14;956.70;576.83;6921.94
Babb;Vanessa;Utah;9;146.09;992.30;668.39;6015.52
Babb;Vanessa;Vermont;12;90.67;922.50;490.29;5883.47
Babb;Vanessa;Virginia;16;47.97;994.20;555.18;8882.94
Babb;Vanessa;Washington;12;100.95;972.01;516.15;6193.80
Babb;Vanessa;West Virginia;10;90.65;982.28;470.20;4701.96
Babb;Vanessa;Wisconsin;9;80.65;863.13;571.96;5147.60
Babb;Vanessa;Wyoming;14;74.84;812.63;353.48;4948.72
Bach;Anthony;Alabama;18;40.55;969.55;497.20;8949.64
Bach;Anthony;Alaska;12;175.77;892.29;532.24;6386.86
Bach;Anthony;Arizona;6;301.10;799.63;544.18;3265.06
Bach;Anthony;Arkansas;11;73.27;993.74;495.81;5453.91
Bach;Anthony;California;6;62.43;951.29;646.24;3877.41
Bach;Anthony;Colorado;12;204.40;918.50;475.39;5704.65
Bach;Anthony;Connecticut;6;113.03;756.15;392.67;2356.00
Bach;Anthony;Delaware;9;31.64;922.09;603.40;5430.58
Bach;Anthony;Florida;11;46.23;958.25;535.48;5890.24
Bach;Anthony;Georgia;13;74.54;916.91;399.22;5189.92
Bach;Anthony;Hawaii;7;74.14;974.06;446.21;3123.50
Bach;Anthony;Idaho;8;108.60;721.22;447.86;3582.84
Bach;Anthony;Illinois;16;20.42;872.82;492.40;7878.40
Bach;Anthony;Indiana;7;28.68;487.61;297.34;2081.41
Bach;Anthony;Iowa;11;132.67;939.41;505.68;5562.47
Bach;Anthony;Kansas;12;43.12;911.49;492.97;5915.62
Bach;Anthony;Kentucky;11;176.27;977.19;563.87;6202.55
Bach;Anthony;Louisiana;12;20.75;943.66;442.17;5306.01
Bach;Anthony;Maine;6;150.53;767.01;418.26;2509.58
Bach;Anthony;Maryland;8;38.71;792.89;329.41;2635.30
Bach;Anthony;Massachusetts;11;114.69;926.16;517.30;5690.27
Bach;Anthony;Michigan;20;110.71;960.52;527.18;10543.56
Bach;Anthony;Minnesota;8;114.02;966.62;541.50;4331.98
Bach;Anthony;Mississippi;12;94.76;984.50;535.59;6427.03
Bach;Anthony;Missouri;8;85.74;818.26;494.98;3959.87
Bach;Anthony;Montana;11;209.61;989.74;539.41;5933.52
Bach;Anthony;Nebraska;5;346.16;972.36;678.41;3392.06
Bach;Anthony;Nevada;9;200.79;873.35;539.63;4856.67
Bach;Anthony;New Hampshire;9;137.59;911.86;523.95;4715.55
Bach;Anthony;New Jersey;17;46.43;992.31;531.35;9032.93
Bach;Anthony;New Mexico;8;199.39;946.77;492.50;3939.99
Bach;Anthony;New York;14;43.19;961.20;625.30;8754.24
Bach;Anthony;North Carolina;15;47.33;742.39;464.50;6967.55
Bach;Anthony;North Dakota;16;67.40;981.81;499.58;7993.32
Bach;Anthony;Ohio;10;90.08;922.09;629.17;6291.70
Bach;Anthony;Oklahoma;11;40.67;696.76;282.95;3112.50
Bach;Anthony;Oregon;12;47.10;987.46;554.41;6652.89
Bach;Anthony;Pennsylvania;6;48.91;867.29;512.33;3074.00
Bach;Anthony;Rhode Island;14;38.13;782.99;390.41;5465.79
Bach;Anthony;South Carolina;4;550.18;966.83;715.05;2860.18
Bach;Anthony;South Dakota;8;276.84;910.86;567.40;4539.20
Bach;Anthony;Tennessee;9;182.37;897.62;647.05;5823.43
Bach;Anthony;Texas;7;134.14;805.52;522.27;3655.89
Bach;Anthony;Utah;9;221.06;946.02;607.29;5465.63
Bach;Anthony;Vermont;13;60.44;929.59;548.38;7128.88
Bach;Anthony;Virginia;6;215.99;728.30;425.24;2551.43
Bach;Anthony;Washington;14;115.56;917.81;503.37;7047.12
Bach;Anthony;West Virginia;4;143.77;933.68;511.50;2045.99
Bach;Anthony;Wisconsin;14;108.03;943.89;590.14;8261.97
Bach;Anthony;Wyoming;7;65.07;874.62;484.22;3389.57
Bacigalupi;Ashley;Alabama;13;85.02;938.55;659.29;8570.80
Bacigalupi;Ashley;Alaska;9;176.19;916.10;557.41;5016.68
Bacigalupi;Ashley;Arizona;8;169.83;911.71;550.09;4400.72
Bacigalupi;Ashley;Arkansas;8;221.93;838.28;532.86;4262.86
Bacigalupi;Ashley;California;18;72.59;939.39;467.27;8410.91
Bacigalupi;Ashley;Colorado;13;32.39;993.30;613.41;7974.35
Bacigalupi;Ashley;Connecticut;12;187.15;939.47;480.14;5761.62
Bacigalupi;Ashley;Delaware;13;115.83;971.42;619.09;8048.21
Bacigalupi;Ashley;Florida;5;775.28;942.13;862.25;4311.24
Bacigalupi;Ashley;Georgia;7;321.57;887.44;586.45;4105.13
Bacigalupi;Ashley;Hawaii;11;139.25;939.83;490.57;5396.27
Bacigalupi;Ashley;Idaho;8;192.81;996.11;681.86;5454.88
Bacigalupi;Ashley;Illinois;5;236.30;994.81;514.61;2573.07
Bacigalupi;Ashley;Indiana;7;146.84;999.08;592.72;4149.05
Bacigalupi;Ashley;Iowa;16;25.47;879.29;415.24;6643.91
Bacigalupi;Ashley;Kansas;11;158.22;980.71;413.94;4553.32
Bacigalupi;Ashley;Kentucky;12;496.53;995.84;751.36;9016.38
Bacigalupi;Ashley;Louisiana;7;265.39;869.92;518.12;3626.81
Bacigalupi;Ashley;Maine;7;277.15;960.02;676.30;4734.13
Bacigalupi;Ashley;Maryland;8;82.39;851.99;545.53;4364.26
Bacigalupi;Ashley;Massachusetts;12;54.75;663.38;434.22;5210.69
Bacigalupi;Ashley;Michigan;7;382.01;753.28;588.21;4117.47
Bacigalupi;Ashley;Minnesota;9;218.03;991.56;637.12;5734.12
Bacigalupi;Ashley;Mississippi;11;206.75;856.91;489.01;5379.10
Bacigalupi;Ashley;Missouri;9;116.62;979.30;579.05;5211.45
Bacigalupi;Ashley;Montana;12;113.13;947.12;515.39;6184.67
Bacigalupi;Ashley;Nebraska;7;112.97;907.84;500.13;3500.94
Bacigalupi;Ashley;Nevada;12;50.98;924.04;446.46;5357.48
Bacigalupi;Ashley;New Hampshire;12;36.78;972.23;495.92;5951.00
Bacigalupi;Ashley;New Jersey;11;81.87;900.62;547.85;6026.33
Bacigalupi;Ashley;New Mexico;10;73.58;936.19;501.90;5018.98
Bacigalupi;Ashley;New York;10;103.42;988.47;644.50;6445.03
Bacigalupi;Ashley;North Carolina;13;273.57;884.46;511.77;6652.97
Bacigalupi;Ashley;North Dakota;9;118.12;955.61;483.23;4349.06
Bacigalupi;Ashley;Ohio;7;201.42;784.47;482.00;3374.03
Bacigalupi;Ashley;Oklahoma;7;210.37;943.27;538.53;3769.72
Bacigalupi;Ashley;Oregon;6;75.60;966.78;499.72;2998.33
Bacigalupi;Ashley;Pennsylvania;12;31.18;981.02;577.55;6930.57
Bacigalupi;Ashley;Rhode Island;6;103.70;995.42;604.05;3624.31
Bacigalupi;Ashley;South Carolina;10;105.53;993.12;542.64;5426.37
Bacigalupi;Ashley;South Dakota;11;126.66;920.63;585.95;6445.47
Bacigalupi;Ashley;Tennessee;12;225.31;987.85;667.80;8013.64
Bacigalupi;Ashley;Texas;13;55.62;930.88;482.61;6273.97
Bacigalupi;Ashley;Utah;5;67.34;640.72;368.48;1842.41
Bacigalupi;Ashley;Vermont;7;21.33;850.70;409.41;2865.87
Bacigalupi;Ashley;Virginia;10;101.39;920.89;526.62;5266.24
Bacigalupi;Ashley;Washington;8;417.22;985.26;752.33;6018.66
Bacigalupi;Ashley;West Virginia;5;337.93;781.04;552.63;2763.13
Bacigalupi;Ashley;Wisconsin;12;51.28;972.10;604.39;7252.67
