CustomerID;CustomerState;CustomerSurname;CustomerFirstname;NumberOfEmployees
7698;Alabama;Evola;Chuakay;7
1463;Alabama;Ewy;Barry;7
16390;Alabama;Faubert;Reade;2
16881;Alabama;Ferris;Rosario;1
696;Alabama;Fink;Marshall;7
1012;Alabama;Florczak;Zina;4
2927;Alabama;Fournier;Honey;5
9212;Alabama;Fray;J. Michael;7
15552;Alabama;Fuchs;Brooke;6
17525;Alabama;Fulcher;Jeannette;3
14716;Alabama;Garft;Clint;3
11773;Alabama;Gilson;Julius;6
15863;Alabama;Gladhdish;Geoff;5
224;Alabama;Godinez;Monk;6
4476;Alabama;Golden;Kolleen;2
19141;Alabama;Goldey;Nicki;2
14641;Alabama;Gomez;Danny;3
3224;Alabama;Good;Amelia;8
15309;Alabama;Gordon;Patta;2
15109;Alabama;Gramstoff;Vannessa;1
10298;Alabama;Gray;Roger;8
10246;Alabama;Grayson;Orville;3
15601;Alabama;Greves;Clinton;4
14847;Alabama;Grey;Ron;6
14503;Alabama;Gurule;Marianne;4
13265;Alabama;Gutierrez;Virgie;4
14399;Alabama;Gutirerrez;Candice;5
1608;Alabama;Gwartney;Muffy;4
11015;Alabama;Hammerland;Anamaria;8
11362;Alabama;Hammersmith;Chaillot;5
16103;Alabama;Hand;Ruben;6
1282;Alabama;Hardrick;Dea;6
16376;Alabama;Hassard;Marliss;7
16925;Alabama;Hasslen;Dyanna;4
7947;Alabama;Hathcock;Roland;10
5364;Alabama;Hayden;Corey;3
17568;Alabama;Hedrick;Clara;2
16537;Alabama;Henson;Chellie;3
3181;Alabama;Heyer;Quintin;4
13570;Alabama;Hogg;Paulette;5
3207;Alabama;Hollinshed;Gregory;4
4262;Alabama;Holm;Masaharu;3
15405;Alabama;Hopkins;Phyllis;3
11164;Alabama;Huebner, Jr.;Nanette;5
9027;Alabama;Huff;Shauna;5
7455;Alabama;Huffman;Dick;3
15421;Alabama;Hurkett;Marialice;3
18473;Alabama;Huserik;Pat;1
5504;Alabama;Iano;Zachariah;4
18224;Alabama;Irwin;Coleman;4
8706;Alabama;Ishizu;Marleen;5
7849;Alabama;Isom;Ricardo;9
6016;Alabama;Ison;Cyndee;4
13936;Alabama;Iudice;Opal;4
17148;Alabama;Ivner;Daryce;4
11852;Alabama;Ivner;Kurt;4
18551;Alabama;Janda;Bobbie;4
11517;Alabama;Jorgensen;Andrew;8
19442;Alabama;Joyce;Marvin;3
1152;Alabama;Kactus;Salvator;6
11417;Alabama;Kelham;Maureen;7
15838;Alabama;Kellen;Walter;6
17858;Alabama;Keller;Casey;3
13815;Alabama;Kesslep;Marjory;7
11489;Alabama;Kirkpatrick;Christie;7
3930;Alabama;Kirkpatrick;Darren;7
10876;Alabama;Klunder;Alicia;6
15651;Alabama;Kneipple;Joey;4
6824;Alabama;Kochle;Aranda;6
1296;Alabama;Komma;Cena;7
17017;Alabama;Konig;Katharine;5
15401;Alabama;Koski;Gail;3
19096;Alabama;Kreuzer;Starla;4
13137;Alabama;Lair;Alexandra;5
8660;Alabama;Land;Patricia;4
8239;Alabama;Lange;Leonora;5
7086;Alabama;Lansing;Sandra;5
18152;Alabama;Lenorovitz;Suet-fun;2
13667;Alabama;Leske;Zoey;5
2203;Alabama;Levinson;Herve;6
15705;Alabama;Lindahl;Merced;2
2073;Alabama;Lindsay;Faisad;5
16197;Alabama;Lipes;Esther;2
9242;Alabama;Longo;Jeanine;7
11673;Alabama;Lucas;Dorine;6
8057;Alabama;Lunden;Bitty;5
9689;Alabama;Lyeba;Sharilynn;4
5861;Alabama;Magenheimer;Edmund;7
19199;Alabama;Mann;Kelvin;3
15518;Alabama;Marcotte;Nasrin;6
19607;Alabama;Marmaro;Rupert;1
12090;Alabama;Mathias;Arjeet;3
5573;Alabama;Mattocks;Hyman;6
15530;Alabama;Mays;Sheree;2
9476;Alabama;Mc Gary;Margorie;4
17213;Alabama;McAnarney;Pamela;5
18028;Alabama;McBride;Wei;3
15182;Alabama;McCabe;Christine;3
19687;Alabama;McCain;Erre;1
3310;Alabama;McDermitt;Salome;7
5346;Alabama;McNamee;Yahia;6
9648;Alabama;Mcanich;Flossie;8
15366;Alabama;Meek;Bessie;5
14953;Alabama;Mehaffy;Elaine;6
3923;Alabama;Menaseo;Lili;5
14987;Alabama;Mendelson;Chellie;4
3088;Alabama;Mercer;Kevin;11
12874;Alabama;Merritt;Hermon;5
14219;Alabama;Milenic;Lino;6
6819;Alabama;Minsky;Olga;5
16062;Alabama;Misiaszek;Mario;5
1130;Alabama;Montano;Selma;6
4137;Alabama;Moreland;Willodene;5
2277;Alabama;Moreno;Meris;7
15500;Alabama;Morgan;Cyril;1
4945;Alabama;Morlan;Trudy;6
1946;Alabama;Moyer;Fae;7
17557;Alabama;Mramor;Glenn;2
19407;Alabama;Musso;Elza;4
10459;Alabama;Myles;Lorraine;2
13548;Alabama;Northcutt;Kara;10
12360;Alabama;Novreske;Kindra;7
4721;Alabama;Olivera;Rubi;4
14751;Alabama;Orando;Theodore;7
10572;Alabama;Orner;Perfecto;2
18991;Alabama;Otte;Laurence;2
15963;Alabama;Otto;Gertrude;4
5031;Alabama;Paine;Elsie;7
9044;Alabama;Partin;Brittany;2
11214;Alabama;Paulsen;Shawn;3
13235;Alabama;Perera;Hillaine;3
4841;Alabama;Perez;Jenifer;4
3660;Alabama;Perkins;Peffy;6
1029;Alabama;Peterson;Madeline;8
3037;Alabama;Pica;Lyall;4
17967;Alabama;Pinter;Elvera;5
5025;Alabama;Ploeger;Billy;5
15803;Alabama;Poole;Jeanni;4
13094;Alabama;Purfield;Linton;7
9356;Alabama;Pusedu;Chuakay;8
7154;Alabama;Putinas;Robyn;7
14593;Alabama;Puttkammer;Mary Ann;7
7648;Alabama;Quick;Britton;4
18456;Alabama;Raberg;Chastity;2
19005;Alabama;Raines;Sonny;5
9465;Alabama;Rattan;Shauneen;6
15053;Alabama;Raye;Wallace;5
3899;Alabama;Redmer;Anatole;8
19853;Alabama;Reed;Manuelita;2
4619;Alabama;Reeley;Stefanie;2
8500;Alabama;Rehrer;Santosh;5
8015;Alabama;Repicky;Huie Nook Yen;4
1806;Alabama;Ridgway;Pat;3
13001;Alabama;Rincon;Fraces;5
6855;Alabama;Rios;Hally;4
14359;Alabama;Ritter;Clarice;5
4182;Alabama;Ritter;Irene;3
18332;Alabama;Rodacy;Candice;2
927;Alabama;Roldan;Mariano;5
12365;Alabama;Roman;Heather;7
5864;Alabama;Rosales;Latoya;5
16666;Alabama;Rothwell;Salvator;4
11686;Alabama;Rovenza;Shaharia;8
5952;Alabama;Rowland;Bethe;5
16538;Alabama;Roybal;Wynona;2
2002;Alabama;Rusciano;Fira;5
2416;Alabama;Rydzewski;Kent;5
6247;Alabama;Saurerveirn;Neioa;4
3842;Alabama;Saxton;Carroll;7
16474;Alabama;Schaidt;Elza;1
1648;Alabama;Schatz;Suzanne;6
5792;Alabama;Schilleroff;Mariano;8
2913;Alabama;Schranz;Reginald;6
18776;Alabama;Schrock;Clarence;3
10117;Alabama;Secora;Melody;6
14478;Alabama;Segura;Eyra;3
5035;Alabama;Shaffett;Edgar;3
11605;Alabama;Siemer;Mary Beth;8
8860;Alabama;Sincich;Jacques;4
8246;Alabama;Singleton;Janette;4
2233;Alabama;Siu;Wendi;3
19932;Alabama;Skeens;Betty Marilee;1
19597;Alabama;Smrha;Chris;3
14477;Alabama;Smrha;Renato;8
4468;Alabama;Solosabal;Janeen;3
17250;Alabama;Sommers;Williams;4
13558;Alabama;Sonneborn;Robyn;3
13081;Alabama;Sotelo;Cornett;4
8902;Alabama;Souleyrette;Ragan;3
18752;Alabama;Spinks;Jeannine;3
17835;Alabama;Spirek;Caryl;3
14021;Alabama;Sprangs;Kittie;5
17228;Alabama;Spurs;Burnis;3
642;Alabama;Stallings;Kent;6
9773;Alabama;Stam;Mickey;6
15676;Alabama;Stanz;Jessica;5
9973;Alabama;Stayton;Jeanne;9
17034;Alabama;Stedillie;Maryan;5
17989;Alabama;Stimac;Sheldon;3
3053;Alabama;Stockman;Daniella;6
3387;Alabama;Stolow;Sonny;5
14950;Alabama;Stonehocker;Virtudes;6
9671;Alabama;Stranger;Phyllis;3
2650;Alabama;Stubbs;Aaron;5
5097;Alabama;Sugiyama;Lorraine;5
19899;Alabama;Sussman;C.;1
5901;Alabama;Sutton;Erica;5
16392;Alabama;Swingley;Meladie;7
12696;Alabama;Symons;Jimmie;5
10208;Alabama;Tallaksen;Long;5
431;Alabama;Tallman;Mary Jo;4
8514;Alabama;Tedford;Cherie;6
8912;Alabama;Temple;Dina;5
5765;Alabama;Terry;Kassandra;7
12164;Alabama;Thomason;Lainie;3
16942;Alabama;Tillman;Jo Ellen;3
10534;Alabama;Tilly;Kara;7
6723;Alabama;Tilton;Affie;8
11350;Alabama;Tobin;Selene;2
17472;Alabama;Tominello;Mats;3
6954;Alabama;Towne;Dylan;6
17021;Alabama;Travierso;Larry;6
15841;Alabama;Tribble;Merritt;3
12593;Alabama;Tubbs;Dell;9
14290;Alabama;Turpin;Margareta;6
15578;Alabama;Tysor;Ruby Kaye;2
11395;Alabama;Urrutia;Beatrice;7
13598;Alabama;Uy;Gertrude;5
12485;Alabama;Valerio;Isabel;9
4977;Alabama;Van Zandt;Jay;5
19893;Alabama;Vasquez;Loretta;1
8367;Alabama;Vaughn;Adoli;3
9676;Alabama;Velez;Rosella;4
18540;Alabama;Verhaeghe;Teresa;9
19290;Alabama;Vilgil;Carole;3
18507;Alabama;Villa;Katrina;5
1473;Alabama;Villaluz;Katerina;6
19558;Alabama;Vincenzi;Adrienne;1
12060;Alabama;Vincenzi;Ronny;6
8842;Alabama;Voeltz;Stacey;7
18780;Alabama;Von Waldegg;Suzanna;2
8532;Alabama;Wagar;Shelley;3
1216;Alabama;Walcott;Goble;8
5442;Alabama;Walsh;Jacques;5
15656;Alabama;Washburn;Georgia;4
10018;Alabama;Waskey;Forrest;3
8772;Alabama;Watner;Rana;4
17162;Alabama;Weller;Francine;3
19241;Alabama;Werts;Edith Daniel;1
16316;Alabama;West;Saskia;2
300;Alabama;Whetstone;Jeannette;5
17805;Alabama;Wiesner;Nell;3
10770;Alabama;Wilcox;Sali;6
768;Alabama;Wilkerson;Mickey;5
5717;Alabama;Willliams;Opal;3
13753;Alabama;Willner;Peggy;2
3038;Alabama;Winslow;Jauire;2
11523;Alabama;Woods;Carole;5
5113;Alabama;Wopperer;Francisca;6
728;Alabama;Workman;Lynn;8
5544;Alabama;Worleg;Macario;5
13672;Alabama;Wuesthoff;Zach;7
6022;Alabama;Yalotz;Bernadette;2
8396;Alabama;Yonce;Parker;4
8419;Alabama;Zablah;Wayne;5
12144;Alabama;Zobkiro;Stacey;6
17917;Alabama;Zubal;Gemma;2
12180;Alabama;Zubal;Leman;6
6814;Alabama;Zugar;Maudie;7
14473;Alaska;Abravaya;Marin;3
2783;Alaska;Acevedo;Brooke;6
12800;Alaska;Acevedo;Joanne;4
8484;Alaska;Adkinson;Biship;7
8960;Alaska;Agnew;Tomas;7
10142;Alaska;Aldred;Ron;7
196;Alaska;Alencastre;Kristin;6
17948;Alaska;Ames;Francisca;5
19391;Alaska;Amidei;Emilia;2
7515;Alaska;Ammann;Kathey;6
8363;Alaska;Anderson;Cathy;3
8777;Alaska;Angypas;Quintin;7
8130;Alaska;Aochi;Hilda;5
7666;Alaska;Archuletta;Ben;4
16622;Alaska;Arko;Jon;3
1729;Alaska;Attiga;Milton;6
12230;Alaska;Avalos;Dnesa;6
17700;Alaska;Babel;Joe;5
5805;Alaska;Bacugalupi;Ariana;1
11329;Alaska;Baker;Cathey;2
9577;Alaska;Balestrery;Tamara;4
7913;Alaska;Balsamo;Suet-fun;6
8047;Alaska;Battistelli;Melvin;2
762;Alaska;Bauman;Huie Nook Yen;7
17766;Alaska;Bautista;Vernon;5
11339;Alaska;Beckby;Mylene;7
7412;Alaska;Bental;Henry;1
13865;Alaska;Bernard;Kandi;6
2596;Alaska;Bill;Markeaus;4
8654;Alaska;Bjork;Theresqa;8
12080;Alaska;Blackwell;Bernard;10
6589;Alaska;Bliss;Glenys;13
13202;Alaska;Blue;Tommie;6
3737;Alaska;Bockser;Broamma;7
14268;Alaska;Boje;Danetta;5
11315;Alaska;Bollacker;Bertie;4
2786;Alaska;Bonicelli;Fereshteh;7
4813;Alaska;Boudreaux;Rosemarie;8
2563;Alaska;Bradshaw, Jr.;Joaquin;9
19708;Alaska;Brafford;Emmett;1
10793;Alaska;Brekke;Wilma;6
4199;Alaska;Brener;Felipe;6
16863;Alaska;Brophy;Eliza;4
4011;Alaska;Brumfiled;Bertie;5
6698;Alaska;Brummett;Pattie;6
10449;Alaska;Bruzzone;Rhonda;7
3613;Alaska;Brydum;Sheree;5
15227;Alaska;Bublitz;Nick;7
15000;Alaska;Buck;Sharron;5
19282;Alaska;Bucker;Leticia;5
12972;Alaska;Bucker;Shayla;4
5439;Alaska;Bullene;Joe;5
1466;Alaska;Bunch;Bertie;5
3742;Alaska;Butler;Alexander;4
17341;Alaska;Calkins;Christoper;3
3298;Alaska;Campanile;Shelly;7
18071;Alaska;Cardoso;Marylou;4
6630;Alaska;Cardoso;Merced;1
6682;Alaska;Carlock;Garilyn;6
314;Alaska;Carlock;Hermon;9
1888;Alaska;Carothers;Jeanene;5
8042;Alaska;Carrasco;Blanche;5
15411;Alaska;Carrillo;Lejeana;8
12820;Alaska;Carstensen;Leah;8
9392;Alaska;Carvajal;Bertram;7
5692;Alaska;Catalano;Elsie;7
9879;Alaska;Catlin;Marinell;7
2976;Alaska;Cavior;Angella;2
2810;Alaska;Ceballos;Rachel;8
2196;Alaska;Celosse;Lucile;6
8836;Alaska;Chambers;Melody;4
10428;Alaska;Chaney;Edith;3
4346;Alaska;Cheney;Barry;8
14454;Alaska;Childers;Josef;4
2191;Alaska;Chitwood;Eve;3
1821;Alaska;Churchfield;Chuakay;7
16790;Alaska;Cipolla;Lila;2
1027;Alaska;Claypole;A. Joyce;6
11066;Alaska;Cobbs;Sadie;3
4822;Alaska;Cogburn;Rob;9
19271;Alaska;Colvin;Yumiko;6
3144;Alaska;Combs;Ruby Kaye;7
13938;Alaska;Cortese;Cameel;3
1387;Alaska;Coter;Roselie;3
4440;Alaska;Crane;Leon;3
11820;Alaska;Creech;Debra;3
6376;Alaska;Crega;Cameel;6
282;Alaska;Crosby;Clara;7
12990;Alaska;Crotto;Danielle;4
14216;Alaska;Cuccia;Norma;4
2485;Alaska;Dabit;Jame;5
3522;Alaska;Daroca;Blanche;6
2766;Alaska;Daroca;Lisa;4
4231;Alaska;DeHaven;Herve;3
2106;Alaska;Deborde;Francine;5
4122;Alaska;Delarber;Howard;5
4287;Alaska;Denton;Theo;5
2066;Alaska;Dismuke;Gary;3
13847;Alaska;Dittmar;Santosh;7
12143;Alaska;Dolzanie;Tandy;3
5114;Alaska;Dominica;Harriet;8
6706;Alaska;Doose;Bill;7
2411;Alaska;Dorenkamp;Lester;4
14498;Alaska;Dowdy;Juanita;8
14562;Alaska;Dwier;Kamal;2
14930;Alaska;Dykstra;Madge;6
15511;Alaska;Eberle;Sierra;6
11772;Alaska;Eddy;Michael John;3
19067;Alaska;Esquivel;Monique;5
5308;Alaska;Estes;Gunda;2
13664;Alaska;Estes;M. Jennifer;1
16554;Alaska;Estrada;Zachariah;2
3907;Alaska;Fehrle;Ed;8
5386;Alaska;Filson;Doralee;12
1577;Alaska;Fisher;Yaakov;10
14932;Alaska;Fornall;Todd;2
1301;Alaska;Fraysur;Thaddaeus;4
14799;Alaska;Freeman;Tiffany;3
3365;Alaska;Fultone;Vandella;4
16204;Alaska;Gallegos;Victoria;7
1225;Alaska;Gandette;Trina;6
9160;Alaska;Garner;Dallas;6
7354;Alaska;Gelabert;Dora;6
16160;Alaska;Ghee;Shandi;4
267;Alaska;Gimmi;Perpetua;5
18847;Alaska;Grando;Angelina;1
14261;Alaska;Graves;Inez;3
14101;Alaska;Greeley;Elliott;5
11725;Alaska;Griffin;Suzann;2
16573;Alaska;Gunther;Percy;6
19050;Alaska;Gutierez;Ira;6
19614;Alaska;Hanavan;Vangie;2
8029;Alaska;Hanks;Franklin;3
7451;Alaska;Hanold;Nattie;4
1918;Alaska;Hanson;Dawn;5
16673;Alaska;Harding;Barri;6
18364;Alaska;Harrison;Pacita;6
17534;Alaska;Harrod;Mary;3
6470;Alaska;Harshell;Nic;3
5374;Alaska;Hasty;Mickey;5
6005;Alaska;Hathaway;Kali;5
12674;Alaska;Hensley;Maeve;4
9;Alaska;Hild;Mabel;5
12374;Alaska;Hilderman;Tricia;5
15777;Alaska;Hinkle;Lateefah;7
4031;Alaska;Hishmeh;Suzanna;7
15311;Alaska;Holcomb;Jodi;6
10551;Alaska;Hollinshed;Fabian;6
14342;Alaska;Hood;Jose;3
3241;Alaska;Horine;Alanna;4
4782;Alaska;Hoskins;Dorene;3
8175;Alaska;Houseman;Art;3
19619;Alaska;Hubert;Crystal;3
8460;Alaska;Hurst;June;5
11580;Alaska;Hutton;Brigid;4
4273;Alaska;Ireland;Eulene;8
12110;Alaska;Ireland;Maeve;1
7378;Alaska;Irving;Elliott;6
13418;Alaska;Jameson;Lorence;3
14160;Alaska;Janusiewicz;Dianna;2
15989;Alaska;Joyce;Lucille;2
18130;Alaska;Judiscak;F. Keith;3
5188;Alaska;June;Corrie;9
4342;Alaska;Kabbes;Hakma;6
2835;Alaska;Kalivoda;Akram;6
9864;Alaska;Kasimir;Jose;8
1342;Alaska;Kassab;Ben;5
8477;Alaska;Keiser;Jo;7
7733;Alaska;Keith;May;5
4517;Alaska;Kerrigan;Sunne;4
13461;Alaska;Kintner;Aida;8
13885;Alaska;Kish;Leslye;4
9906;Alaska;Koseck;Wildon;5
11398;Alaska;Kotc;Alfred;7
5214;Alaska;Kottenstette;Hezzie;3
10075;Alaska;Kroll;Henry;3
6435;Alaska;Lange;Deanne;6
15621;Alaska;Lansing;Aimee;5
11250;Alaska;Lawson;Alphonse;4
15551;Alaska;Leach;Donny;3
17050;Alaska;Lefebvre;Sara;2
5500;Alaska;Lilley;Yehoshua;8
13747;Alaska;Linder;Marylou;8
9003;Alaska;Livingston;Esmeralda;5
9513;Alaska;Lof;Cassandra;4
8075;Alaska;Lough;Saje;2
7794;Alaska;Lovato;Eyra;5
17045;Alaska;Lucariello;Fe;2
19144;Alaska;Lyndon;Clarice;2
6773;Alaska;Madden;Gautam;10
6732;Alaska;Maggard;Emily;6
12310;Alaska;Mahan;Helene;4
19621;Alaska;Mallory;Charity;3
2289;Alaska;Manke;Blain;6
16720;Alaska;Mann;Hermon;3
12281;Alaska;Marcotte;Ramiro;4
19494;Alaska;Masterson;Dori;2
14588;Alaska;Mastin;Lucile;5
14775;Alaska;Mastreno;Lyla;3
11029;Alaska;Maxham;Robrt;2
7668;Alaska;McCool;Wes;5
3125;Alaska;McCown;Lianna;4
16425;Alaska;McGin;Regina;2
575;Alaska;McMurray;Kristin;8
5696;Alaska;Mckinley;Darlyn;8
11130;Alaska;Meddles;Jose;3
12113;Alaska;Megel;Tifani;7
2343;Alaska;Mendonca;Peffy;6
436;Alaska;Mighaud;Diane;7
6486;Alaska;Milusnic;Bambi;2
10157;Alaska;Minsky;Veola;8
19004;Alaska;Morgan;Codileigh;3
12392;Alaska;Morus;Candy;10
10732;Alaska;Moschelli;Onsby;5
6151;Alaska;Moss;Janelle;9
16353;Alaska;Naugler;Jamie;6
16382;Alaska;Nichols;Felicia;3
4410;Alaska;Nickels;Sam;4
12561;Alaska;Noguera;Angel;5
10038;Alaska;Noguera;Rachel;4
14206;Alaska;Nolen;Leslie;6
17998;Alaska;Norris;Sherman;7
15819;Alaska;OGrady;Ida;5
1504;Alaska;Oneill;Louella;9
15329;Alaska;Osborne;Elvera;5
17168;Alaska;Otter;Lena;2
14960;Alaska;Pacioretty;Gavin;4
2535;Alaska;Panton;Mosha;6
3490;Alaska;Parez;Tammerra;2
14262;Alaska;Patterson;Kindra;4
12541;Alaska;Patton;Kevin;5
13960;Alaska;Paul;Aubrey;3
668;Alaska;Pelcher;Niki;5
2898;Alaska;Piasecki;Angeline;6
3647;Alaska;Piasecki;Eran;5
8934;Alaska;Pickering;Nyya;2
7143;Alaska;Pietsch;Christopher;5
2646;Alaska;Pillatzki;Denyse;4
18548;Alaska;Porcella;Paula;2
19169;Alaska;Posa;Delbert;2
8209;Alaska;Preffer;Jay;5
12307;Alaska;Pucell;Vivian;4
18856;Alaska;Ragulsky;M.;3
5670;Alaska;Ramer;Kali;5
2087;Alaska;Realino;Troy;8
16646;Alaska;Rebhun;Ramiro;2
14864;Alaska;Reeley;Emmitt;1
54;Alaska;Rife;Rae;7
15346;Alaska;Riggio;Ceaser;6
14321;Alaska;Rivera;Ryan;1
13971;Alaska;Rizley;Bethe;3
10364;Alaska;Robbins;Leigha;3
17819;Alaska;Roberts;Brandy;4
4704;Alaska;Rogers;Christine;6
13797;Alaska;Romero;Cheyrl;4
18955;Alaska;Rote;Jim;1
11768;Alaska;Rovere;Bettie;7
6109;Alaska;Rubin;Laureen;4
2588;Alaska;Rustay;Sabrina;10
1967;Alaska;Saurerveirn;Sandi;7
14131;Alaska;Sayers;Ruth;4
10481;Alaska;Saylor;Carolyn;8
18817;Alaska;Schaidt;Roslyn;2
7140;Alaska;Schaub;Marlies;5
15352;Alaska;Schoedel;Sunne;9
1850;Alaska;Schwairy;Harriett;1
13021;Alaska;Scroggins;Christopher;6
6793;Alaska;Sears;Arjeet;4
1696;Alaska;Seiler;Diane;4
16563;Alaska;Senick;Lea;3
15212;Alaska;Several;Pearle;4
14307;Alaska;Shaffett;Marialice;3
16230;Alaska;Sharp;Maurice;5
15508;Alaska;Shatswell;Lamont;4
17266;Alaska;Shields;Percy;8
15156;Alaska;Shobe;Daryl;7
8107;Alaska;Sikes;Sally;2
15317;Alaska;Simmers;Elaine;5
16536;Alaska;Simpkins;Sierra;5
18328;Alaska;Snyder;Alfred;2
321;Alaska;Solarz;Zeev;6
