EmployeeSurname;EmployeeFirstname;NumberOfTransactions;MinAmount;MaxAmount;AverageAmount;SumOfAmounts
Bruner;Scott;512;20.52;994.46;510.45;261350.03
Butcher;Jacqueline;496;21.50;999.50;503.19;249582.73
Cammack;Raquel;520;21.73;996.70;502.35;261223.91
Canfield;Arnold;525;21.03;997.39;507.68;266530.12
Caro;Raquel;455;24.61;999.55;527.98;240228.90
Carpoff;Theresa;503;20.17;999.50;524.21;263678.15
Cata;Flora;545;20.47;999.52;511.25;278633.77
Cereghino;Peter;475;21.10;999.08;503.24;239037.52
Cervantes;Stanley;500;24.30;999.35;504.24;252118.91
Chace;Rowan;525;20.15;994.17;503.96;264577.37
Channing;Jane;505;22.29;999.53;499.80;252400.30
Chessman;Tiara;502;23.64;994.10;524.11;263102.81
Chestnut;Vanessa;463;21.95;999.56;508.40;235390.48
Chilton;Leonardo;522;20.32;999.54;516.70;269716.69
Choin;Amy;528;23.84;999.42;508.83;268661.79
Cole;Rowan;458;21.76;999.28;501.03;229473.69
Colone;Theresa;477;21.32;997.46;489.40;233441.94
Connelly;Richard;534;21.02;999.56;520.59;277993.53
Conser;Ashley;481;20.63;998.56;510.32;245465.03
Contreras;Agatha;516;25.13;999.61;527.37;272121.98
Cosgrove;Frank;503;20.19;999.00;526.21;264685.47
Dahlberg;Stanley;557;21.21;999.58;508.43;283195.04
Delgado;Priscila;528;22.20;996.29;514.15;271469.16
Deskus;Frederick;510;20.28;995.39;527.62;269088.36
Dickerson;Tiara;532;21.90;998.75;487.51;259357.53
Dillion;Stanley;510;25.95;999.80;505.15;257624.55
Dodd;Zoe;494;20.60;999.66;499.34;246671.92
Doran;Charles;504;20.58;997.91;515.87;259996.72
Dorland;Amanda;448;20.30;999.75;501.94;224867.16
Dreschel;Richard;525;20.54;999.91;488.56;256496.16
Ehrens;Gordon;481;22.20;998.74;483.80;232708.17
Evans;Ashley;513;21.84;997.26;511.40;262350.31
Fancher;Raquel;474;20.92;995.38;481.40;228181.96
Farsai;Vanessa;474;21.39;998.83;492.36;233380.01
Finley;Jane;489;20.50;995.13;481.61;235505.88
Fischer;Ashley;536;21.46;997.32;529.97;284061.71
Galvin;William;520;21.42;999.61;515.61;268118.93
Geer;Annabel;461;20.59;998.30;525.78;242386.32
Geyer;Agatha;462;23.40;990.78;520.55;240492.70
Gorgone;Charles;509;20.70;998.21;518.74;264037.59
Grass;Harry;480;27.42;998.12;525.63;252303.21
Griego;Theresa;497;22.60;999.96;507.16;252059.02
Hadlock;David;495;20.04;998.48;500.31;247652.06
Hambright;George;520;20.17;997.38;508.53;264434.92
Hansen;Gordon;524;20.50;997.73;503.36;263763.15
Hanshew;Anthony;495;21.88;998.13;508.19;251556.03
Harbison;Gabriel;492;20.73;998.86;503.52;247730.74
Hargrave;Stanley;503;20.70;998.67;521.82;262477.00
Hart;James;470;20.96;998.69;491.15;230839.26
Hawthorne;James;487;20.23;998.08;511.12;248913.38
Hayes;Martin;494;22.78;999.85;525.41;259554.87
Heiser;Vanessa;503;21.36;996.84;523.72;263428.82
Herleth;Sarah;501;20.44;998.63;513.37;257200.39
Herrold, Sr.;John;511;22.41;998.93;503.76;257422.04
Hills;Anthony;475;21.02;998.07;522.42;248150.58
Holloway;Janessa;503;20.24;998.01;491.46;247204.47
Huck;Priscila;499;22.39;996.92;503.97;251482.41
Hurtado;Theresa;512;24.79;993.22;519.47;265969.30
Husk;Raquel;472;21.53;999.50;494.67;233482.65
Jans;Amy;522;22.26;993.81;525.63;274380.14
Jasdzewski;Theresa;486;22.87;999.46;499.67;242837.58
Jenkins;Francene;456;23.91;999.65;500.87;228396.61
Jiminez;Michael;494;21.06;995.72;517.30;255548.09
Joslin;Richard;543;21.74;999.84;508.66;276204.39
Kannisto;Rowan;511;20.97;993.83;506.50;258823.10
Kight;Anthony;519;21.80;998.69;508.19;263752.93
Kozlowski;Vanessa;502;20.40;999.93;517.83;259952.79
Kuhns;Charles;508;20.59;999.10;482.26;244989.28
Kwiatkowski;Tia;491;23.59;999.81;520.68;255655.00
LaPorte;Priscila;512;20.78;992.80;489.68;250716.87
Lamothe;Annabel;475;20.88;999.92;500.98;237963.36
Laurita;Agatha;506;27.06;997.38;510.63;258381.29
Laursen;Stanley;489;21.37;998.40;512.58;250650.53
Lawton;Helen;516;23.19;999.10;499.07;257521.49
Leather;Gabriel;532;20.50;999.74;515.55;274272.08
Levy;James;516;24.14;998.17;524.88;270836.61
Lipwick;Agatha;482;20.48;997.03;522.96;252066.59
Lique;Leonardo;501;23.59;998.58;512.85;256939.80
Littleton;Joseph;530;21.58;999.58;518.05;274568.38
Lloyd;Frederick;465;20.38;999.01;514.06;239038.48
Lord;Gordon;507;20.95;997.98;528.90;268150.01
Lovett;Richard;494;21.36;999.88;527.51;260591.64
MacBride;Rosemary;487;28.53;999.28;509.80;248273.95
Mc Nair;James;472;20.20;998.36;521.39;246097.19
McCance;Tia;511;21.33;999.99;518.25;264827.03
McCartney;Amanda;500;20.21;999.59;502.86;251429.98
McNichols;Zoe;499;21.84;992.45;508.68;253829.83
Mcculloch;Richard;504;20.65;999.35;507.84;255951.61
Mejias;Peter;546;22.40;997.71;529.52;289117.13
Miwa;Frank;468;20.83;999.73;508.21;237840.26
Mogenhan;Rosemary;546;25.55;999.06;534.10;291616.90
Moreschini;Jane;515;21.34;997.62;507.71;261472.64
Newcomer;Peter;543;20.49;998.58;518.22;281393.38
Newland;Mark;484;20.33;998.94;503.56;243725.15
Nielson;Raquel;514;23.21;995.77;491.54;252651.11
Noonan;Gabriel;501;22.55;996.69;504.89;252948.81
Norlin;George;502;21.62;998.19;516.53;259295.65
Oana;John;473;21.02;995.59;507.89;240231.64
Okane;Arnold;499;21.35;996.94;514.17;256568.70
Okrongly;Robert;498;20.68;996.75;525.70;261797.42
Oliveto;John;513;21.46;999.40;519.08;266286.13
Ord;Martin;530;22.22;998.72;522.21;276773.94
Pirnie;Stanley;508;23.33;997.27;513.63;260925.80
Poisson;Stanley;484;20.87;998.29;518.24;250826.70
Pollard;Janessa;535;20.20;999.63;518.10;277180.86
Pote;James;524;22.22;993.88;507.96;266173.52
Primavera;Annabel;516;20.85;999.97;510.22;263272.17
Puchalla;Priscila;510;21.08;995.02;498.47;254219.38
Quesinberry;Zoe;482;22.62;998.81;502.01;241968.07
Ramsey;Vanessa;501;20.06;998.90;499.23;250112.40
Rebholz;David;489;23.58;999.58;506.04;247453.93
Reeves;Joseph;522;20.35;999.83;534.13;278816.90
Rizzi;Scott;494;20.23;999.74;522.01;257874.91
Rupert;Frank;465;23.40;996.62;507.79;236121.35
Ryden;Robert;482;24.04;997.64;494.22;238212.49
Salazar;Jacqueline;509;23.54;999.43;515.10;262183.78
Sampson;Michael;464;21.12;998.18;523.21;242768.60
Saver;Janessa;532;21.40;999.57;496.16;263958.60
Schmidt;Daniel;499;20.90;994.54;483.74;241388.10
Schulze;Gilbert;498;20.91;999.82;503.42;250701.19
Secrest;Peter;448;21.16;993.74;515.86;231106.97
Senter;Martin;514;21.14;998.98;496.54;255220.68
Shane;Priscila;515;22.44;997.40;501.52;258284.56
Shoaf;Scott;544;21.67;997.99;514.60;279941.41
Sierra;Sarah;492;20.20;999.37;504.37;248149.69
Skonnard;Rosemary;471;20.86;997.89;505.35;238017.71
Smrt;Raquel;510;22.12;999.56;505.59;257851.07
Snowden;Frederick;474;20.25;996.59;510.33;241895.35
Sosine;Theresa;490;21.10;996.53;508.63;249230.80
Sparacino;Richard;501;21.81;999.08;512.69;256858.12
Spivey;Jane;512;24.01;989.54;510.27;261256.52
Storjohann;Janessa;520;21.08;998.54;512.29;266392.18
Stricklin;Valerie;523;25.00;999.74;512.77;268181.06
Sturdevant;Francene;470;20.33;999.13;490.98;230761.80
Sullivan;Rosemary;508;21.09;999.39;505.68;256886.70
Surwill;Mark;471;22.07;999.61;534.31;251660.43
Takeda;David;489;21.17;999.21;513.69;251193.14
Thornburgh;Priscila;510;24.03;999.13;487.09;248414.86
Tracey;Theresa;479;20.51;993.33;505.95;242350.82
Trigg;Flora;493;23.71;996.16;514.85;253822.53
Trontell;Priscila;510;22.01;999.82;513.28;261771.73
Trouse;Arnold;487;20.86;999.31;516.08;251333.32
Truitt;Scott;497;21.58;998.02;515.49;256198.00
Tuason;Flora;525;20.18;997.15;501.14;263096.67
Turnbloom;Scott;512;20.96;999.95;512.87;262588.18
Tusting;Leonardo;500;21.22;996.99;511.16;255582.20
Vanderkamp;Rowan;504;20.00;999.05;493.63;248788.06
Vaught;William;506;21.85;999.96;516.37;261280.77
Vegiard;Daniel;488;20.03;999.35;485.76;237050.82
Verduzco;Charles;473;20.48;998.17;496.03;234620.05
Vine;Joseph;497;20.86;999.39;497.87;247440.25
Weinzimmer;Ashley;485;22.24;998.55;524.39;254330.09
Westbury;Ashley;470;21.85;999.44;528.88;248571.68
Wherrett;Joseph;514;21.54;998.56;517.04;265758.60
Williams;Frank;503;20.61;994.17;518.69;260902.31
Willmott;Raquel;454;20.20;998.88;532.58;241792.93
Wolters;Leonardo;498;24.65;996.59;504.16;251073.01
Worland;James;462;23.11;986.65;497.98;230066.44
Wynn;Stanley;475;24.11;999.22;510.59;242528.00
Yoes;Valerie;495;20.37;999.50;500.42;247707.34
Zadel;David;499;20.37;998.77;512.24;255607.99
Zavala;Mark;513;20.18;999.19;539.07;276543.90
Zdanowicz;Tiara;476;20.82;999.69;503.32;239582.42
Zenarosa;Jacqueline;470;20.13;995.59;515.13;242110.54
Ziegler;Flora;471;24.54;999.40;506.91;238752.42
Zwier;James;481;21.07;998.59;509.22;244934.34
